fr,en
Abbaye,Abbey
Accompagnement,AccompaniedPractice
Agence de guides,TourGuideAgency
Aire de camping-car,CamperVanArea
Aire de covoiturage,CarpoolArea
Aire de jeux,PlayArea
Aire de pique-nique,PicnicArea
"Aire, station de taxis",TaxiStation
Alpage,AlpinePasture
Animation locale,LocalAnimation
Antiquaire et brocanteur,AntiqueAndSecondhandGoodDealer
Appartement,Apartment
Aqueduc,Aqueduct
Arc de triomphe,TriumphalArch
"Arrêt, station de transport en commun",BusStop
Artisan d'art,CraftsmanShop
Arène,Arena
Atelier de formation,TrainingWorkshop
Auberge de jeunesse et centre international de séjour,YouthHostelAndInternationalCenter
Auditorium,Auditorium
Aérodrôme,Airfield
Aéroport,Airport
Baptême sportif,FirstPractice
"Bar, bar à thème",BarOrPub
"Barrage, digue",LevyOrDike
Base nautique / centre nautique,NauticalCentre
Basilique,Basilica
Bastide,Bastide
Bateau promenade,SightseeingBoat
Bateau-restaurant,BoatRestaurant
Bibliothèque - Médiathèque,Library
Bistrot - Bar à vin,BistroOrWineBar
Bocage,Bocage
Borne de charge véhicule électrique,ElectricVehicleChargingPoint
Borne de service camping car,RVServiceArea
Borne ou station de réparation - gonflage,GarageOrAirPump
Boulangerie,Bakery
Boulodrome,BoulesPitch
"Boutique, commerce de proximité",BoutiqueOrLocalShop
Bowling,BowlingAlley
Brasserie ou taverne,BrasserieOrTavern
Brasseur,Brewery
Brocante,BricABrac
Bulle,Bubble
"Bungalow, Mobil Home",Bungalow
Bungatoile,Bungatoile
Bureau éxécutif,ExecutiveBoardMeeting
Bus touristique,TouristBus
Bâteau habitable,HouseBoat
Bâtiment civil remarquable,RemarkableBuilding
Cabane,Hut
Cabane dans les arbres,TreeHouse
Cabaret,Cabaret
Café ou salon de thé,CafeOrTeahouse
Cafétéria - Self,SelfServiceCafeteria
Calvaire et enclos paroissiaux,Calvary
Camping,Camping
Camping car,CampingCar
Canal,Canal
Canyon,Canyon
Caravane,Caravan
Carnaval,Carnival
Cascade,Waterfall
Cascade de glace,Icefall
Casino,Casino
Cathédrale,Cathedral
Causse,Causse
Cave de dégustation,WineCellar
Cave ou caveau,Cellar
Centre d'interprétation,InterpretationCentre
Centre de balnéothérapie,BalneotherapyCentre
Centre de congrès,ConventionCentre
Centre de remise en forme - fitness,FitnessCenter
Centre de thalassothérapie,ThalassotherapyCentre
Centre de vacances et de loisirs,HolidayCentre
Centre et galerie commerciale,ShoppingCentreAndGallery
Centre équestre,EquestrianCenter
Chalet,Chalet
Chalet résidentiel de loisirs,LeisureChalet
Chambre,Room
Chambre d'hôtes,Guesthouse
Chambre de commerce et d'industrie,ChamberOfCommerceAndIndustry
Chambre et table d'hôtes,TableHoteGuesthouse
Chapelle,Chapel
Chartreuse,Chartreuse
Chaumes,StubbleFields
Château,Castle
Château et demeure de prestige,CastleAndPrestigeMansion
Château fort,FortifiedCastle
Cimetière civil,CivilCemetery
Cimetière militaire et mémorial,MilitaryCemetery
Cinéma,Cinema
Cinémathèque,Cinematheque
Circuit automobile ou moto,RacingCircuit
Cirque,CircusPlace
Cirque naturel,Cirque
Citadelle,Citadel
Cloître,Cloister
Club de plage,BeachClub
Club de sport,SportsClub
Club enfants,KidsClub
Club et village vacances,ClubOrHolidayVillage
Col,Col
Collégiale,Collegiate
Comité départemental du tourisme,DepartementTourismCommittee
Comité régional du tourisme,RegionalTourismCommittee
Commanderie,Commanderie
Commerce de détail,Store
Commune,City
Commémoration,Commemoration
Compagnie de taxis,TaxiCompany
Complexe de loisirs (loisirs regroupés),LeisureComplex
Complèxe ou terrain de tennis,TennisComplex
Compétition,Competition
Compétition sportive,SportsCompetition
Concert,Concert
Conférence,Conference
Congrès,Congress
Conseil d'administration,BoardMeeting
Consigne à bagages,LeftLuggage
Coopérative,Cooperative
Cours,Course
Couvent,Convent
Crête,Crest
Cuesta,Cuesta
Culture,CulturalTheme
Culture,Culture
Curiosité naturelle,NaturalCuriosity
Cybercafé,Cybercafe
Cône,ConeNeck
"Côte, littoral",Coastline
Côteau,Hillsides
Discothèque,NightClub
Disposition de la salle,RoomLayout
"Distributeur automatique de billets, DAB",ATM
Domaine de ski alpin,DownhillSkiResort
Domaine de ski nordique,CrossCountrySkiResort
Donjon,Dungeon
Dune,Dune
Dédicace et rencontre d'artiste,ArtistSigning
Défilé Cortège Parade,Parade
Dégustation,Tasting
Démonstration sportive,SportsDemonstration
Ecluse,Lock
Ecole et centre d'apprentissage,SchoolOrTrainingCentre
Eglise,Church
Embarcadère,Jetty
Emplacement de camping,CampingPitch
Ensemble fortifié,FortifiedSet
Etablissement thermal,Spa
Etang,Pond
Etape de l'itinéraire,TourPath
Evènement commercial,SaleEvent
Evènement jeune public,ChildrensEvent
Evènement professionnel d'entreprise,BusinessEvent
Evènement social,SocialEvent
Evéché,Bishopric
Exposition,Exhibition
Falaise,Cliff
Ferme,Farm
Ferme et auberge de campagne,FarmhouseInn
Ferme pédagogique,TeachingFarm
Festival,Festival
Foire ou salon,FairOrShow
Fontaine,Fountain
Forge,Forge
Fort,Fort
Forêt,Forest
Fournisseur de dégustation,TastingProvider
"Fronton, mur de frappe",FrontonBelotaCourt
Fête et manifestation,EntertainmentAndEvent
Fête traditionnelle,TraditionalCelebration
"Galerie d'art, galerie d'exposition",ArtGalleryOrExhibitionGallery
Gare ferroviaire,TrainStation
Gare routière,BusStation
Glacier,IceCreamShop
Glacier de montagne,Glacier
Gorge,Gorge
Grand magasin,DepartmentStore
Grande et moyenne surface,HypermarketAndSupermarket
"Grotte, gouffre, aven, caverne, carrière",CaveSinkholeOrAven
Groupement de producteurs,ProducersGroup
Guide professionnel,ProfessionalTourGuide
Gîte d'enfants,ChildrensGite
